,public_key,bits,algorithm,time,memory_mb
0,6255727,24,Fermat,7.36619986128062e-05,0.0001907348632812
1,6255727,24,Lenstra,0.0031508190004387,0.00103759765625
2,6255727,24,Pollard Rho,8.397200144827366e-05,0.0003204345703125
3,6255727,24,Pollard p-1,0.0002476970039424,0.0003547668457031
4,6694577,24,Fermat,0.0001591170002939,0.000213623046875
5,6694577,24,Lenstra,0.0009323859994765,0.001007080078125
6,6694577,24,Pollard Rho,9.883000166155398e-05,0.0003204345703125
7,6694577,24,Pollard p-1,3.935600398108363e-05,0.0002899169921875
8,7989097,24,Fermat,0.0001172159973066,0.000213623046875
9,7989097,24,Lenstra,0.0290201969983172,0.001068115234375
10,7989097,24,Pollard Rho,0.00015320500097,0.0003204345703125
11,7989097,24,Pollard p-1,2.577999839559197e-05,0.0002899169921875
12,8650483,24,Fermat,0.0006433789967559,0.000213623046875
13,8650483,24,Lenstra,0.0028729440018651,0.001007080078125
14,8650483,24,Pollard Rho,0.000396734001697,0.0003204345703125
15,8650483,24,Pollard p-1,3.1891999242361635e-05,0.0002899169921875
16,10597487,24,Fermat,9.817899990594016e-05,0.000213623046875
17,10597487,24,Lenstra,0.008294396000565,0.001068115234375
18,10597487,24,Pollard Rho,0.0003592619978007,0.0003204345703125
19,10597487,24,Pollard p-1,0.0107674390019383,0.0055999755859375
20,11470913,24,Fermat,9.69460015767254e-05,0.000213623046875
21,11470913,24,Lenstra,0.0074664919957285,0.0010986328125
22,11470913,24,Pollard Rho,0.0003136340019409,0.0003204345703125
23,11470913,24,Pollard p-1,5.695899744750932e-05,0.0002899169921875
24,11830219,24,Fermat,0.0001617110028746,0.0001907348632812
25,11830219,24,Lenstra,0.0028143400049884,0.001220703125
26,11830219,24,Pollard Rho,0.0005237990044406,0.0003204345703125
27,11830219,24,Pollard p-1,0.0002870530006475,0.0003700256347656
28,11911597,24,Fermat,8.217899448936805e-05,0.000213623046875
29,11911597,24,Lenstra,0.0013751490041613,0.001007080078125
30,11911597,24,Pollard Rho,8.212800457840785e-05,0.0003204345703125
31,11911597,24,Pollard p-1,5.683999916072935e-05,0.0002899169921875
32,12214001,24,Fermat,1.1851996532641351e-05,0.00018310546875
33,12214001,24,Lenstra,0.0039887230013846,0.001007080078125
